Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
975,ASSAM,UDALGURI,UDALGURI,BLOCK,59550.28,23712.80,14757.82,1803.31,12.22,Safe
976,BIHAR,ARARIA,NARPATGANJ,BLOCK,38171.00,22305.76,20492.84,2361.81,11.53,Safe
977,BIHAR,ARARIA,FORBESGANJ,BLOCK,42652.00,30290.65,27461.89,3043.64,11.08,Safe
978,BIHAR,ARARIA,BHARGAMA,BLOCK,23326.00,20655.45,18589.90,7354.29,39.56,Safe
979,BIHAR,ARARIA,ARARIA,BLOCK,40097.00,20998.64,18898.78,2504.29,13.25,Safe
980,BIHAR,ARARIA,Kursakanta,BLOCK,16340.00,6423.93,5781.53,2021.03,34.96,Safe
981,BIHAR,ARARIA,JOKIHAT,BLOCK,27234.00,13147.64,11832.87,5146.67,43.49,Safe
982,BIHAR,ARARIA,PALASI,BLOCK,24787.00,9721.87,8749.68,4101.63,46.88,Safe
983,BIHAR,ARARIA,RANIGANJ,BLOCK,47198.00,29444.83,27033.19,3259.17,12.06,Safe
984,BIHAR,ARARIA,SIKTI,BLOCK,19132.00,7181.12,6463.00,2161.43,33.44,Safe
985,BIHAR,ARWAL,KURTHA,BLOCK,8929.00,2365.65,2213.04,1403.25,63.41,Safe
986,BIHAR,ARWAL,KARPI,BLOCK,19493.00,4793.31,4313.98,2303.36,53.39,Safe
987,BIHAR,ARWAL,Sonbhadra Banshi Surypur,BLOCK,8996.00,2539.17,2285.26,963.08,42.14,Safe
988,BIHAR,ARWAL,KALER,BLOCK,14083.00,6321.67,5689.50,2886.27,50.73,Safe
989,BIHAR,ARWAL,ARWAL,BLOCK,12182.00,5131.26,4618.14,1656.37,35.87,Safe
990,BIHAR,AURANGABAD,GOH,BLOCK,30285.00,14413.83,12972.44,4220.54,32.53,Safe
991,BIHAR,AURANGABAD,RAFIGANJ,BLOCK,32143.00,10356.88,9321.18,4114.99,44.15,Safe
992,BIHAR,AURANGABAD,DAUDNAGAR,BLOCK,19662.00,10203.91,9183.52,1769.30,19.27,Safe
993,BIHAR,AURANGABAD,AURANGABAD,BLOCK,28687.00,13309.97,12158.20,3643.54,29.97,Safe
994,BIHAR,AURANGABAD,BARUN,BLOCK,31049.00,13911.27,12674.22,2350.87,18.55,Safe
995,BIHAR,AURANGABAD,NABINAGAR,BLOCK,53906.00,17057.23,15351.51,4227.63,27.54,Safe
996,BIHAR,AURANGABAD,DEO,BLOCK,20277.00,9334.72,8477.49,1415.60,16.70,Safe
997,BIHAR,AURANGABAD,KUTUMBA,BLOCK,25961.00,12222.81,11000.53,4135.57,37.59,Safe
998,BIHAR,AURANGABAD,MADANPUR,BLOCK,26904.00,11552.37,10397.13,3348.21,32.20,Safe
999,BIHAR,AURANGABAD,HASPURA,BLOCK,13678.00,7290.43,6561.39,2692.52,41.04,Safe
1000,BIHAR,AURANGABAD,OBRA,BLOCK,26502.00,12872.37,11628.62,3955.09,34.01,Safe
1001,BIHAR,BANKA,BARAHAT,BLOCK,14728.00,4452.53,4108.88,1208.08,29.40,Safe
1002,BIHAR,BANKA,Rajoun,BLOCK,19751.00,6062.11,5455.89,3533.27,64.76,Safe
1003,BIHAR,BANKA,AMARPUR,BLOCK,18625.00,5853.30,5267.97,3676.41,69.79,Safe
1004,BIHAR,BANKA,Dhoraiya,BLOCK,23414.00,5380.98,4842.88,3382.13,69.84,Safe
1005,BIHAR,BANKA,Fullidumar,BLOCK,14786.00,4051.29,3646.16,1233.20,33.82,Safe
1006,BIHAR,BANKA,SHAMBHUGANJ,BLOCK,17975.00,5848.31,5263.47,3402.93,64.65,Safe
1007,BIHAR,BANKA,BELHAR,BLOCK,17768.00,6085.84,5477.26,1445.19,26.39,Safe
1008,BIHAR,BANKA,Chandan,BLOCK,30763.00,6855.73,6170.16,871.78,14.13,Safe
1009,BIHAR,BANKA,Katoriya,BLOCK,56057.00,12218.80,10996.92,2377.24,21.62,Safe
1010,BIHAR,BANKA,Bounsi,BLOCK,23471.00,6380.35,5742.31,1441.10,25.10,Safe
1011,BIHAR,BANKA,BANKA,BLOCK,29962.00,7039.86,6660.78,1843.50,27.68,Safe
1012,BIHAR,BEGUSARAI,Cheria Bariyarpur,BLOCK,10387.00,3286.55,2957.90,1967.84,66.53,Safe
1013,BIHAR,BEGUSARAI,SAHEBPUR KAMAL,BLOCK,14440.00,4342.21,3907.98,2624.17,67.15,Safe
1014,BIHAR,BEGUSARAI,BALIA,BLOCK,14888.00,4376.59,3938.92,2672.27,67.84,Safe
1015,BIHAR,BEGUSARAI,Chhorahi,BLOCK,10299.00,3104.15,2793.72,1896.50,67.88,Safe
1016,BIHAR,BEGUSARAI,Garhpura,BLOCK,6135.00,1835.64,1652.07,1102.81,66.75,Safe
1017,BIHAR,BEGUSARAI,BARAUNI,BLOCK,12167.00,3521.16,3169.04,2160.25,68.17,Safe
1018,BIHAR,BEGUSARAI,BAKHRI,BLOCK,7719.00,2541.96,2287.76,1567.60,68.52,Safe
1019,BIHAR,BEGUSARAI,Bhagawanpur,BLOCK,11343.00,3333.16,2999.84,2055.11,68.51,Safe
1020,BIHAR,BEGUSARAI,BIRPUR,BLOCK,5164.00,1601.97,1441.77,1270.49,88.12,Semi Critical
1021,BIHAR,BEGUSARAI,KHUDABANDPUR,BLOCK,4727.00,1515.55,1364.00,1187.61,87.07,Semi Critical
1022,BIHAR,BEGUSARAI,Mansoorchak,BLOCK,4132.00,1201.33,1081.20,728.19,67.35,Safe
1023,BIHAR,BEGUSARAI,NAVKOTHI,BLOCK,5268.00,1771.09,1593.99,1307.51,82.03,Semi Critical
1024,BIHAR,BEGUSARAI,Samho-Akha-Kurha,BLOCK,6578.00,1928.90,1736.01,948.03,54.61,Safe
1025,BIHAR,BEGUSARAI,Teghra,BLOCK,14474.00,3981.59,3583.43,2212.08,61.73,Safe
1026,BIHAR,BEGUSARAI,Dandari,BLOCK,7050.00,2166.51,1949.86,1306.44,67.00,Safe
1027,BIHAR,BEGUSARAI,Matihani,BLOCK,17674.00,5004.05,4503.64,2431.24,53.98,Safe
1028,BIHAR,BEGUSARAI,Bachwara,BLOCK,14472.00,4268.30,3841.48,2779.82,72.36,Semi Critical
1029,BIHAR,BEGUSARAI,BEGUSARAI,BLOCK,22214.00,6525.66,5873.08,4008.55,68.25,Safe
1030,BIHAR,BHAGALPUR,SABOUR,BLOCK,11495.00,3094.15,2784.73,1059.96,38.06,Safe
1031,BIHAR,BHAGALPUR,BIHPUR,BLOCK,15208.00,4373.13,3935.82,1808.24,45.94,Safe
1032,BIHAR,BHAGALPUR,RANGRA CHOWK,BLOCK,11994.00,3353.26,3017.93,899.14,29.79,Safe
1033,BIHAR,BHAGALPUR,GOPALPUR,BLOCK,13257.00,3781.09,3402.99,1420.72,41.75,Safe
1034,BIHAR,BHAGALPUR,ISMAILPUR,BLOCK,8269.00,2331.89,2098.70,625.66,29.81,Safe
1035,BIHAR,BHAGALPUR,JAGDISHPUR,BLOCK,10993.00,3471.74,3256.57,1415.13,43.45,Safe
1036,BIHAR,BHAGALPUR,KAHALGAON,BLOCK,33584.00,10147.18,9132.45,3899.32,42.70,Safe
1037,BIHAR,BHAGALPUR,KHARIK,BLOCK,13157.00,3815.78,3434.19,1683.08,49.01,Safe
1038,BIHAR,BHAGALPUR,NARAYANPUR,BLOCK,14427.00,3955.08,3559.56,1002.94,28.18,Safe
1039,BIHAR,BHAGALPUR,NATHNAGAR,BLOCK,12608.00,3871.92,3484.73,1906.40,54.71,Safe
1040,BIHAR,BHAGALPUR,NAUGACHHIA,BLOCK,10670.00,3195.54,2875.99,1814.84,63.10,Safe
1041,BIHAR,BHAGALPUR,Pirpainty,BLOCK,35006.00,9402.57,8462.31,2150.00,25.41,Safe
1042,BIHAR,BHAGALPUR,Sanhoula,BLOCK,17420.00,6492.81,5843.52,2486.02,42.54,Safe
1043,BIHAR,BHAGALPUR,SHAHKUND,BLOCK,16818.00,6293.31,5663.98,2613.35,46.14,Safe
1044,BIHAR,BHAGALPUR,Gauradih,BLOCK,13425.00,4760.56,4284.50,1367.09,31.91,Safe
1045,BIHAR,BHAGALPUR,SULTANGANJ,BLOCK,21924.00,6404.11,6077.42,2170.87,35.72,Safe
1046,BIHAR,BHOJPUR,UDWANTNAGAR,BLOCK,17052.00,7236.28,6512.65,2668.90,40.98,Safe
1047,BIHAR,BHOJPUR,PIRO,BLOCK,21839.00,9923.35,8931.01,3850.21,43.11,Safe
1048,BIHAR,BHOJPUR,CHARPOKHRI,BLOCK,10931.00,6651.50,5986.35,2539.49,42.42,Safe
1049,BIHAR,BHOJPUR,GARHANI,BLOCK,11201.00,3554.46,3199.02,1863.17,58.24,Safe
1050,BIHAR,BHOJPUR,Barhara,BLOCK,20807.00,5147.46,4632.72,2288.70,49.40,Safe
1051,BIHAR,BHOJPUR,JAGDISHPUR,BLOCK,25778.00,10333.53,9300.18,5620.64,60.44,Safe
1052,BIHAR,BHOJPUR,SAHAR,BLOCK,12729.00,6009.29,5408.36,1042.45,19.27,Safe
1053,BIHAR,BHOJPUR,SANDESH,BLOCK,13009.00,4938.68,4444.81,2375.34,53.44,Safe
1054,BIHAR,BHOJPUR,Bihiya,BLOCK,14007.00,4254.79,3829.32,3386.47,88.44,Semi Critical
1055,BIHAR,BHOJPUR,Ara Sadar,BLOCK,18491.00,5571.04,5013.94,4442.75,88.61,Semi Critical
1056,BIHAR,BHOJPUR,SHAHPUR,BLOCK,15143.00,4138.03,3724.22,2944.77,79.07,Semi Critical
1057,BIHAR,BHOJPUR,Agiaon,BLOCK,15599.00,6507.68,5856.91,1615.72,27.59,Safe
1058,BIHAR,BHOJPUR,KOILWAR,BLOCK,10846.00,3465.97,3119.37,2128.97,68.25,Safe
1059,BIHAR,BHOJPUR,TARARI,BLOCK,20098.00,10013.78,9012.40,3527.94,39.15,Safe
1060,BIHAR,BUXAR,Nawanagar,BLOCK,19790.00,4781.11,4303.00,1776.47,41.28,Safe
1061,BIHAR,BUXAR,CHAUSA,BLOCK,11010.00,3753.76,3474.69,2068.76,59.54,Safe
1062,BIHAR,BUXAR,ITARHI,BLOCK,23410.00,11592.24,10578.87,4156.22,39.29,Safe
1063,BIHAR,BUXAR,KESATH,BLOCK,3112.00,3067.00,2760.30,403.18,14.61,Safe
1064,BIHAR,BUXAR,RAJPUR,BLOCK,28740.00,13270.23,12075.36,4338.70,35.93,Safe
1065,BIHAR,BUXAR,SIMRI,BLOCK,17050.00,4232.28,3809.05,2653.34,69.66,Safe
1066,BIHAR,BUXAR,DUMRAON,BLOCK,19970.00,6950.37,6255.32,2401.35,38.39,Safe
1067,BIHAR,BUXAR,Brahmpur,BLOCK,18610.00,5599.36,5039.42,3068.11,60.88,Safe
1068,BIHAR,BUXAR,BUXAR,BLOCK,16240.00,4702.60,4313.97,2889.86,66.99,Safe
1069,BIHAR,BUXAR,CHAKKI,BLOCK,7645.00,1707.97,1537.17,471.28,30.66,Safe
1070,BIHAR,BUXAR,CHAUGAIN,BLOCK,5429.00,2149.13,1991.15,1284.51,64.51,Safe
1071,BIHAR,DARBHANGA,SINGHWARA,BLOCK,17038.00,5193.09,4673.78,2858.81,61.17,Safe
1072,BIHAR,DARBHANGA,JALE,BLOCK,18679.00,5242.93,4718.63,1931.58,40.94,Safe
1073,BIHAR,DARBHANGA,BIRAUL,BLOCK,18443.00,5568.85,5011.96,2803.73,55.94,Safe
1074,BIHAR,DARBHANGA,Gaura Bauram,BLOCK,11619.00,3507.72,3156.94,1676.16,53.09,Safe
1075,BIHAR,DARBHANGA,DARBHANGA,BLOCK,20612.00,5906.46,5315.81,3692.52,69.46,Safe
1076,BIHAR,DARBHANGA,KIRATPUR,BLOCK,6236.00,1721.65,1549.47,510.10,32.92,Safe
1077,BIHAR,DARBHANGA,Hanuman Nagar,BLOCK,13979.00,4107.99,3697.19,2160.02,58.42,Safe
1078,BIHAR,DARBHANGA,Hayaghat,BLOCK,8601.00,2587.08,2328.37,1523.77,65.44,Safe
1079,BIHAR,DARBHANGA,Keoti,BLOCK,15008.00,5250.96,4725.87,2822.59,59.73,Safe
1080,BIHAR,DARBHANGA,Kusheswar Asthan,BLOCK,11659.00,3029.48,2875.09,1673.98,58.22,Safe
1081,BIHAR,DARBHANGA,Kusheswar Asthan East,BLOCK,12124.00,3304.18,3137.80,1543.14,49.18,Safe
1082,BIHAR,DARBHANGA,MANIGACHHI,BLOCK,13620.00,4581.97,4123.77,2840.38,68.88,Safe
1083,BIHAR,DARBHANGA,TARDIH,BLOCK,8370.00,2548.63,2415.92,1301.23,53.86,Safe
1084,BIHAR,DARBHANGA,BENIPUR,BLOCK,16259.00,5228.29,4705.46,3054.51,64.91,Safe
1085,BIHAR,DARBHANGA,BAHERI,BLOCK,21482.00,6329.34,5696.41,3087.18,54.20,Safe
1086,BIHAR,DARBHANGA,ALINAGAR,BLOCK,9504.00,3120.59,2808.54,1834.81,65.33,Safe
1087,BIHAR,DARBHANGA,Ghanshyampur,BLOCK,10345.00,4485.61,4037.05,1459.69,36.16,Safe
1088,BIHAR,DARBHANGA,Bahadurpur,BLOCK,16851.00,5558.42,5002.59,3168.93,63.35,Safe
1089,BIHAR,EAST CHAMPARAN,Adapur,BLOCK,15318.00,8309.22,7478.30,2360.36,31.56,Safe
1090,BIHAR,EAST CHAMPARAN,Pakaridayal,BLOCK,11655.00,4936.63,4442.96,2324.21,52.31,Safe
1091,BIHAR,EAST CHAMPARAN,Mehsi,BLOCK,12168.00,6168.58,5551.72,2632.19,47.41,Safe
1092,BIHAR,EAST CHAMPARAN,Chakia,BLOCK,17335.00,7634.61,6871.15,3390.39,49.34,Safe
1093,BIHAR,EAST CHAMPARAN,Harsiddhi,BLOCK,19010.00,12196.56,10976.89,4690.03,42.73,Safe
1094,BIHAR,EAST CHAMPARAN,KALYANPUR,BLOCK,23811.00,11372.96,10597.75,4783.98,45.14,Safe
1095,BIHAR,EAST CHAMPARAN,MOTIHARI,BLOCK,25158.00,9355.98,8652.20,3666.84,42.38,Safe
1096,BIHAR,EAST CHAMPARAN,ARERAJ,BLOCK,18947.00,8463.40,7861.98,2052.15,26.10,Safe
1097,BIHAR,EAST CHAMPARAN,Banjariya,BLOCK,13935.00,4853.52,4540.33,2419.39,53.29,Safe
1098,BIHAR,EAST CHAMPARAN,DHAKA,BLOCK,16906.00,7950.72,7155.65,3680.79,51.44,Safe
1099,BIHAR,EAST CHAMPARAN,KESARIA,BLOCK,18825.00,8456.58,7746.90,2222.48,28.69,Safe
1100,BIHAR,EAST CHAMPARAN,KOTWA,BLOCK,15203.00,8574.16,7832.53,2448.31,31.26,Safe
1101,BIHAR,EAST CHAMPARAN,MADHUBAN,BLOCK,12150.00,4027.70,3624.92,2486.39,68.59,Safe
1102,BIHAR,EAST CHAMPARAN,PAHARPUR,BLOCK,15466.00,10373.99,9421.32,3694.72,39.22,Safe
1103,BIHAR,EAST CHAMPARAN,Phenhara,BLOCK,5459.00,1887.50,1698.74,1162.59,68.44,Safe
1104,BIHAR,EAST CHAMPARAN,Piprakothi,BLOCK,4882.00,2694.39,2462.14,1351.72,54.90,Safe
1105,BIHAR,EAST CHAMPARAN,RAMGARHWA,BLOCK,16766.00,7658.63,7044.86,2703.36,38.37,Safe
1106,BIHAR,EAST CHAMPARAN,RAXAUL,BLOCK,13137.00,6740.53,6066.47,2526.30,41.64,Safe
1107,BIHAR,EAST CHAMPARAN,SANGRAMPUR,BLOCK,14766.00,6716.50,6179.92,2854.27,46.19,Safe
1108,BIHAR,EAST CHAMPARAN,SUGAULI,BLOCK,16725.00,8908.78,8092.67,2634.72,32.56,Safe
1109,BIHAR,EAST CHAMPARAN,TETARIA,BLOCK,8035.00,2729.65,2456.69,1629.31,66.32,Safe
1110,BIHAR,EAST CHAMPARAN,TURKAULIYA,BLOCK,13611.00,7464.80,6839.40,2774.17,40.56,Safe
1111,BIHAR,EAST CHAMPARAN,Chauradano,BLOCK,13490.00,7826.86,7121.80,2995.79,42.07,Safe
1112,BIHAR,EAST CHAMPARAN,Chiraiya,BLOCK,20533.00,11338.49,10204.63,4765.11,46.70,Safe
1113,BIHAR,EAST CHAMPARAN,BANKATWA,BLOCK,8846.00,4900.76,4410.68,1684.01,38.18,Safe
1114,BIHAR,EAST CHAMPARAN,Ghorasahan,BLOCK,11901.00,6373.97,5736.57,3279.45,57.17,Safe
1115,BIHAR,EAST CHAMPARAN,Patahi,BLOCK,11849.00,5210.51,4689.45,2914.84,62.16,Safe
1116,BIHAR,GAYA,Bodh Gaya,BLOCK,29484.00,7704.97,6934.47,3360.15,48.46,Safe
1117,BIHAR,GAYA,TANKUPPA,BLOCK,15015.00,3741.03,3366.94,1410.86,41.90,Safe
1118,BIHAR,GAYA,BELAGANJ,BLOCK,19795.00,6017.57,5415.81,4537.79,83.79,Semi Critical
1119,BIHAR,GAYA,AMAS,BLOCK,10844.00,3199.40,2879.45,1666.78,57.89,Safe
1120,BIHAR,GAYA,GURUA,BLOCK,18941.00,6627.17,5964.45,2875.07,48.20,Safe
1121,BIHAR,GAYA,GURARU,BLOCK,16498.00,5134.87,4621.38,2936.63,63.54,Safe
1122,BIHAR,GAYA,MOHANPUR,BLOCK,33629.00,8146.82,7332.14,2440.18,33.28,Safe
1123,BIHAR,GAYA,Banke Bazar,BLOCK,20718.00,5248.57,4723.71,1746.07,36.96,Safe
1124,BIHAR,GAYA,IMAMGANJ,BLOCK,26418.00,6953.61,6258.25,3035.11,48.50,Safe
1125,BIHAR,GAYA,ATRI,BLOCK,13002.00,3438.36,3094.53,1701.83,54.99,Safe
1126,BIHAR,GAYA,Dumariya,BLOCK,30411.00,3968.39,3751.61,2184.37,58.22,Safe
1127,BIHAR,GAYA,FATEHPUR,BLOCK,32914.00,8046.04,7241.44,2943.86,40.65,Safe
1128,BIHAR,GAYA,Khizar Sarai,BLOCK,18456.00,6291.80,5662.62,4056.53,71.64,Semi Critical
1129,BIHAR,GAYA,MANPUR,BLOCK,12423.00,3367.99,3031.19,2114.35,69.75,Safe
1130,BIHAR,GAYA,MUHRA,BLOCK,14764.00,3930.15,3537.13,2021.88,57.16,Safe
1131,BIHAR,GAYA,Neemchak Bathani,BLOCK,11848.00,3325.93,2993.34,1419.72,47.43,Safe
1132,BIHAR,GAYA,Paraiya,BLOCK,14190.00,4548.71,4093.84,2716.46,66.35,Safe
1133,BIHAR,GAYA,Gaya Sadar,BLOCK,18349.00,4454.65,4009.18,2898.45,72.30,Semi Critical
1134,BIHAR,GAYA,Barachatty,BLOCK,26780.00,6393.22,5753.90,1292.29,22.46,Safe
1135,BIHAR,GAYA,DOBHI,BLOCK,17001.00,4768.45,4291.60,1764.32,41.11,Safe
1136,BIHAR,GAYA,WAZIRGANJ,BLOCK,26564.00,7037.31,6394.35,4405.28,68.89,Safe
1137,BIHAR,GAYA,Tekari,BLOCK,23496.00,7593.05,6926.37,5067.10,73.16,Semi Critical
1138,BIHAR,GAYA,KONCH,BLOCK,25559.00,8782.71,7904.43,5511.65,69.73,Safe
1139,BIHAR,GAYA,SHERGHATI,BLOCK,13879.00,3664.92,3298.43,1309.65,39.71,Safe
1140,BIHAR,GOPALGANJ,PHULWARIA,BLOCK,9550.00,6325.69,5693.12,3677.62,64.60,Safe
1141,BIHAR,GOPALGANJ,THAWE,BLOCK,6999.00,4121.94,3709.74,1860.92,50.16,Safe
1142,BIHAR,GOPALGANJ,Kateya,BLOCK,12614.00,8243.48,7419.13,2927.59,39.46,Safe
1143,BIHAR,GOPALGANJ,Hathua,BLOCK,14660.00,7925.95,7133.36,3971.80,55.68,Safe
1144,BIHAR,GOPALGANJ,UCHKAGAON,BLOCK,11328.00,5741.51,5167.36,3276.76,63.41,Safe
1145,BIHAR,GOPALGANJ,Bhore,BLOCK,13041.00,8977.85,8080.06,5632.81,69.71,Safe
1146,BIHAR,GOPALGANJ,Vijayipur,BLOCK,14761.00,6882.14,6193.93,3936.27,63.55,Safe
1147,BIHAR,GOPALGANJ,KUCHAIKOT,BLOCK,25136.00,13509.98,12158.98,6705.31,55.15,Safe
1148,BIHAR,GOPALGANJ,Panchdevari,BLOCK,9278.00,5500.40,4950.36,2682.64,54.19,Safe
1149,BIHAR,GOPALGANJ,SIDHWALIA,BLOCK,12012.00,5965.04,5368.53,2056.63,38.31,Safe
1150,BIHAR,GOPALGANJ,MANJHA,BLOCK,14146.00,7679.14,6911.23,4185.79,60.57,Safe
1151,BIHAR,GOPALGANJ,BARAULI,BLOCK,18432.00,9887.68,9021.56,4963.63,55.02,Safe
1152,BIHAR,GOPALGANJ,GOPALGANJ,BLOCK,19548.00,7220.96,6498.87,3297.97,50.75,Safe
1153,BIHAR,GOPALGANJ,BAIKUNTHPUR,BLOCK,20408.00,8429.30,7586.37,4826.51,63.62,Safe
1154,BIHAR,JAMUI,KHAIRA,BLOCK,31577.00,9050.87,8189.30,2233.55,27.27,Safe
1155,BIHAR,JAMUI,JHAJHA,BLOCK,34187.00,4338.01,4092.11,2499.93,61.09,Safe
1156,BIHAR,JAMUI,BARHAT,BLOCK,19293.00,4921.25,4429.13,620.69,14.01,Safe
1157,BIHAR,JAMUI,GIDHAUR,BLOCK,7111.00,2435.53,2191.97,1249.20,56.99,Safe
1158,BIHAR,JAMUI,SONO,BLOCK,30573.00,3249.22,2924.30,1501.18,51.33,Safe
1159,BIHAR,JAMUI,CHAKAI,BLOCK,70131.00,7831.53,7414.20,2137.31,28.83,Safe
1160,BIHAR,JAMUI,JAMUI,BLOCK,13390.00,5143.39,4629.05,3198.56,69.10,Safe
1161,BIHAR,JAMUI,Islamnagar Aliganj,BLOCK,17289.00,5059.32,4553.38,1708.36,37.52,Safe
1162,BIHAR,JAMUI,SIKANDRA,BLOCK,14562.00,4938.23,4444.40,2190.02,49.28,Safe
1163,BIHAR,JAMUI,Laxmipur,BLOCK,17001.00,2791.33,2619.80,904.23,34.52,Safe
1164,BIHAR,JEHANABAD,KAKO,BLOCK,13253.00,4847.73,4362.95,4494.61,103.02,Over Exploited
1165,BIHAR,JEHANABAD,RATNI FARIDPUR,BLOCK,12429.00,3556.20,3200.58,3655.24,114.21,Over Exploited
1166,BIHAR,JEHANABAD,Hulasgunj,BLOCK,9713.00,3873.55,3486.19,1903.33,54.60,Safe
1167,BIHAR,JEHANABAD,Modanganj,BLOCK,7994.00,2639.46,2375.51,1888.50,79.50,Semi Critical
1168,BIHAR,JEHANABAD,GHOSHI,BLOCK,9246.00,4308.05,4016.56,2963.05,73.77,Semi Critical
1169,BIHAR,JEHANABAD,JEHANABAD,BLOCK,16252.00,5574.71,5017.24,4257.57,84.86,Semi Critical
1170,BIHAR,JEHANABAD,Makhdumpur,BLOCK,24370.00,8050.84,7245.76,4818.10,66.50,Safe
1171,BIHAR,KAIMUR,RAMPUR,BLOCK,17197.00,5184.83,4666.34,1871.72,40.11,Safe
1172,BIHAR,KAIMUR,BHAGWANPUR,BLOCK,11026.00,3929.13,3536.22,2328.94,65.86,Safe
1173,BIHAR,KAIMUR,Adhaura,BLOCK,72249.00,4439.96,3995.96,730.03,18.27,Safe
1174,BIHAR,KAIMUR,BHABHUA,BLOCK,33449.00,13708.98,12338.08,5524.04,44.77,Safe
1175,BIHAR,KAIMUR,CHAINPUR,BLOCK,41327.00,11500.17,10350.15,3246.22,31.36,Safe
1176,BIHAR,KAIMUR,CHAND,BLOCK,20670.00,6358.59,5722.73,1523.97,26.63,Safe
1177,BIHAR,KAIMUR,DURGAWATI,BLOCK,16764.00,5743.72,5169.35,1777.04,34.38,Safe
1178,BIHAR,KAIMUR,MOHANIA,BLOCK,28552.00,9612.05,8650.85,5191.17,60.01,Safe
1179,BIHAR,KAIMUR,KUDRA,BLOCK,21054.00,7201.88,6481.70,4617.04,71.23,Semi Critical
1180,BIHAR,KAIMUR,NUAON,BLOCK,18900.00,8358.43,7522.58,2997.33,39.84,Safe
1181,BIHAR,KAIMUR,RAMGARH,BLOCK,16852.00,6951.75,6460.65,2780.08,43.03,Safe
1182,BIHAR,KATIHAR,FALKA,BLOCK,16948.00,10592.49,9533.25,3573.70,37.49,Safe
1183,BIHAR,KATIHAR,Sameli,BLOCK,12866.00,5629.86,5066.87,1069.30,21.10,Safe
1184,BIHAR,KATIHAR,BARSOI,BLOCK,27914.00,10521.07,9468.96,5899.12,62.30,Safe
1185,BIHAR,KATIHAR,DANDKHORA,BLOCK,8921.00,3416.62,3074.96,2105.29,68.47,Safe
1186,BIHAR,KATIHAR,AMDABAD,BLOCK,18863.00,6170.96,5553.87,1273.27,22.93,Safe
1187,BIHAR,KATIHAR,AZAMNAGAR,BLOCK,29077.00,12065.63,10859.06,7003.19,64.49,Safe
1188,BIHAR,KATIHAR,BALRAMPUR,BLOCK,17428.00,6928.27,6235.44,3136.60,50.30,Safe
1189,BIHAR,KATIHAR,KATIHAR,BLOCK,11005.00,5266.06,4739.45,2425.54,51.18,Safe
1190,BIHAR,KATIHAR,KORHA,BLOCK,29848.00,17788.59,16009.73,4472.02,27.93,Safe
1191,BIHAR,KATIHAR,KURSELA,BLOCK,6106.00,1948.39,1848.25,648.68,35.10,Safe
1192,BIHAR,KATIHAR,MANIHARI,BLOCK,25012.00,8207.72,7386.95,2073.56,28.07,Safe
1193,BIHAR,KATIHAR,Mansahi,BLOCK,7814.00,2701.04,2430.94,1666.16,68.54,Safe
1194,BIHAR,KATIHAR,PRANPUR,BLOCK,15306.00,6104.39,5493.94,3757.00,68.38,Safe
1195,BIHAR,KATIHAR,KADWA,BLOCK,33992.00,11444.05,10299.65,3987.38,38.71,Safe
1196,BIHAR,KATIHAR,HASANGANJ,BLOCK,7111.00,3029.23,2834.42,1563.75,55.17,Safe
1197,BIHAR,KATIHAR,BARARI,BLOCK,32780.00,11555.40,10399.85,2601.11,25.01,Safe
1198,BIHAR,KHAGARIA,PARBATTA,BLOCK,24104.00,8070.61,7263.54,5015.26,69.05,Safe
1199,BIHAR,KHAGARIA,KHAGARIA,BLOCK,26236.00,8353.68,7518.32,4254.64,56.59,Safe
1200,BIHAR,KHAGARIA,BELDAUR,BLOCK,22356.00,7363.41,6988.21,4852.75,69.44,Safe
1201,BIHAR,KHAGARIA,GOGRI,BLOCK,25031.00,8425.93,7583.33,5267.50,69.46,Safe
1202,BIHAR,KHAGARIA,CHAUTHAM,BLOCK,16397.00,5347.73,4812.96,2595.71,53.93,Safe
1203,BIHAR,KHAGARIA,MANSI,BLOCK,7001.00,2399.27,2159.34,1365.84,63.25,Safe
1204,BIHAR,KHAGARIA,Alauli,BLOCK,27447.00,9031.52,8128.37,4965.02,61.08,Safe
1205,BIHAR,KISHANGANJ,DIGHALBANK,BLOCK,25532.00,8481.46,7633.31,3074.49,40.28,Safe
1206,BIHAR,KISHANGANJ,BAHADURGANJ,BLOCK,24787.00,8429.15,8001.69,2166.65,27.08,Safe
1207,BIHAR,KISHANGANJ,Kochadhaman,BLOCK,28691.00,10287.86,9769.99,3561.04,36.45,Safe
1208,BIHAR,KISHANGANJ,KISHANGANJ,BLOCK,18103.00,6356.16,6033.61,2050.73,33.99,Safe
1209,BIHAR,KISHANGANJ,Terhagachh,BLOCK,19347.00,6307.72,5676.96,1674.25,29.49,Safe
1210,BIHAR,KISHANGANJ,THAKURGANJ,BLOCK,39238.00,12603.87,11343.48,3328.20,29.34,Safe
1211,BIHAR,KISHANGANJ,POTHIA,BLOCK,35445.00,11980.40,10782.36,4546.07,42.16,Safe
1212,BIHAR,LAKHISARAI,RAMGARH CHOWK,BLOCK,9255.00,5096.35,4586.71,1039.18,22.66,Safe
